user,software,device,network,action,resource,rischio
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,26
hacker,nmap,unknown,93.44.12.1,drop,pazienti,89
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,11
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,28
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,27
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,21
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,17
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,pazienti,21
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,26
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,pazienti,10
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,2
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,23
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,10
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,19
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,11
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,20
anonymous,nmap,unknown,93.44.12.1,find,config_db,74
anonymous,nmap,missing_tpm,93.44.12.1,drop,system_logs,70
hacker,custom_python_script,missing_tpm,93.44.12.1,delete,config_db,98
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,8
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,11
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,utenti,7
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,7
mario.rossi,curl_7.68,unknown,1.2.3.4,delete,config_db,91
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,23
mario.rossi,custom_python_script,unknown,1.2.3.4,find,system_logs,80
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,9
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,17
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,28
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,9
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,19
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,3
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,10
admin,custom_python_script,unknown,93.44.12.1,find,config_db,83
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0
admin,custom_python_script,missing_tpm,1.2.3.4,find,system_logs,93
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,12
anonymous,custom_python_script,missing_tpm,93.44.12.1,drop,config_db,90
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,23
admin,curl_7.68,unknown,1.2.3.4,delete,config_db,72
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,28
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,6
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,24
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,24
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,utenti,26
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,13
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,13
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,13
mario.rossi,nmap,unknown,1.2.3.4,drop,config_db,76
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,8
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,16
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,9
mario.rossi,curl_7.68,unknown,1.2.3.4,find,config_db,82
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,find,utenti,26
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,26
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,14
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,16
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,12
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,16
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,4
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,11
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,14
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,14
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,28
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,17
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,2
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,30
hacker,custom_python_script,missing_tpm,1.2.3.4,find,pazienti,84
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,25
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,30
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,19
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,27
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,20
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,20
anonymous,nmap,missing_tpm,8.8.8.8,delete,pazienti,73
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,1
anonymous,curl_7.68,missing_tpm,93.44.12.1,find,system_logs,86
hacker,curl_7.68,unknown,1.2.3.4,delete,pazienti,98
anonymous,custom_python_script,missing_tpm,93.44.12.1,find,pazienti,91
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,13
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,24
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,28
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,2
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,18
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,4
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,3
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,20
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,16
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,update,utenti,25
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,pazienti,14
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,20
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,9
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,3
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,23
admin,nmap,missing_tpm,93.44.12.1,delete,system_logs,83
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,28
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,25
anonymous,custom_python_script,unknown,93.44.12.1,find,pazienti,82
hacker,nmap,unknown,8.8.8.8,drop,config_db,71
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,23
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,15
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,6
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,29
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,12
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,12
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,8
mario.rossi,custom_python_script,missing_tpm,8.8.8.8,drop,config_db,82
hacker,nmap,missing_tpm,1.2.3.4,drop,config_db,71
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,3
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,6
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,2
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,20
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,10
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,7
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,9
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,8
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,26
admin,nmap,unknown,1.2.3.4,delete,pazienti,86
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,2
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,6
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,pazienti,28
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,21
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,11
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,13
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,28
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,20
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,11
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,pazienti,20
anonymous,nmap,missing_tpm,1.2.3.4,delete,system_logs,94
hacker,curl_7.68,missing_tpm,8.8.8.8,drop,config_db,87
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0
admin,nmap,missing_tpm,1.2.3.4,delete,system_logs,80
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,pazienti,3
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,20
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,24
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,5
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,12
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,30
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,7
hacker,custom_python_script,unknown,8.8.8.8,find,config_db,77
anonymous,custom_python_script,unknown,1.2.3.4,delete,config_db,76
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,23
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,utenti,4
mario.rossi,custom_python_script,unknown,1.2.3.4,delete,system_logs,81
admin,nmap,missing_tpm,1.2.3.4,find,config_db,89
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,pazienti,25
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,8
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,12
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,5
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,25
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,6
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,10
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,27
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,1
admin,nmap,missing_tpm,93.44.12.1,delete,pazienti,83
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,utenti,9
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,13
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,25
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,8
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,3
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,12
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,24
anonymous,nmap,missing_tpm,93.44.12.1,find,pazienti,78
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,30
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,8
admin,nmap,unknown,93.44.12.1,find,config_db,100
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,pazienti,10
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,1
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,25
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,14
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,6
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,4
hacker,nmap,unknown,1.2.3.4,delete,system_logs,84
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,update,pazienti,12
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,4
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,11
admin,curl_7.68,unknown,1.2.3.4,delete,config_db,95
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,15
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,10
anonymous,custom_python_script,unknown,8.8.8.8,delete,config_db,79
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,pazienti,1
hacker,nmap,unknown,1.2.3.4,drop,system_logs,92
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,4
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,13
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,10
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,18
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,11
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,13
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,25
anonymous,custom_python_script,missing_tpm,8.8.8.8,drop,pazienti,93
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,11
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,26
hacker,curl_7.68,unknown,8.8.8.8,find,config_db,72
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,pazienti,1
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,13
hacker,custom_python_script,unknown,8.8.8.8,find,config_db,77
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,28
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,18
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,pazienti,20
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,pazienti,3
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,19
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,30
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,3
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,28
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,4
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,5
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,19
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,10
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,15
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,update,utenti,2
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,pazienti,19
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,8
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,21
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,update,pazienti,18
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,14
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,8
mario.rossi,custom_python_script,missing_tpm,93.44.12.1,find,config_db,77
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,25
admin,custom_python_script,missing_tpm,93.44.12.1,find,system_logs,90
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,13
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,27
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,10
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,5
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,15
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,21
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,11
hacker,curl_7.68,unknown,93.44.12.1,delete,system_logs,86
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,15
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,utenti,14
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,0
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,7
mario.rossi,nmap,unknown,93.44.12.1,delete,config_db,74
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,22
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,5
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,4
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,29
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,2
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,21
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,29
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,16
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,pazienti,18
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,17
anonymous,curl_7.68,unknown,93.44.12.1,delete,system_logs,80
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,utenti,8
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,18
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,20
mario.rossi,nmap,missing_tpm,1.2.3.4,find,config_db,90
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,8
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,15
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,25
admin,custom_python_script,unknown,1.2.3.4,drop,config_db,77
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,1
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,18
mario.rossi,custom_python_script,unknown,8.8.8.8,drop,config_db,80
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,pazienti,26
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,2
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,16
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,2
admin,curl_7.68,unknown,8.8.8.8,find,system_logs,71
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,21
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,insert,pazienti,20
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,15
admin,nmap,unknown,8.8.8.8,drop,config_db,73
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,29
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,13
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,2
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,29
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,23
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,12
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,10
hacker,curl_7.68,unknown,8.8.8.8,find,pazienti,95
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,utenti,16
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,pazienti,13
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,pazienti,22
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,16
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,13
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,29
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,2
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,17
hacker,nmap,unknown,93.44.12.1,delete,system_logs,97
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,19
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,30
hacker,nmap,missing_tpm,8.8.8.8,drop,system_logs,96
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,pazienti,14
admin,curl_7.68,unknown,1.2.3.4,drop,pazienti,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,30
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,23
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,29
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,1
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,3
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,14
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,29
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,14
hacker,nmap,unknown,1.2.3.4,find,config_db,76
mario.rossi,curl_7.68,unknown,1.2.3.4,find,pazienti,87
