user,software,device,network,action,resource,failed_logins,hour_of_day,is_night,session_freq,sensitivity_level,days_inactive,rischio
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,2,11,0,5,3,3,36
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,0,10,0,9,1,1,0
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,15,0,1,3,1,23
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,13,0,8,1,0,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,0,9,0,10,2,0,15
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,1,18,0,4,2,0,20
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,10,0,7,3,3,16
anonymous,nmap,missing_tpm,8.8.8.8,find,pazienti,7,4,1,15,2,90,100
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,pazienti,0,11,0,2,2,0,11
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,11,0,7,2,0,11
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,0,12,0,10,2,2,10
admin,custom_python_script,missing_tpm,8.8.8.8,find,config_db,10,3,1,15,3,180,100
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,0,12,0,6,2,0,9
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,8,0,3,2,0,7
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,13,0,4,2,1,9
anonymous,nmap,unknown,1.2.3.4,find,system_logs,5,22,1,20,2,30,99
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,12,0,9,3,0,24
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,2,10,0,5,3,3,37
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,16,0,3,2,0,12
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,9,0,7,3,2,22
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,find,pazienti,0,11,0,8,2,0,12
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,11,0,7,3,2,18
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,0,7,0,5,3,1,20
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,11,0,6,1,1,1
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,1,14,0,3,1,0,8
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0,15,0,8,3,1,21
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,14,0,9,3,0,24
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,0,13,0,5,1,0,0
hacker,custom_python_script,missing_tpm,8.8.8.8,drop,system_logs,7,2,1,15,2,90,100
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,11,0,3,2,0,10
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,2,13,0,7,1,0,16
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,0,11,0,3,2,1,5
hacker,curl_7.68,missing_tpm,1.2.3.4,delete,config_db,7,1,1,20,3,365,98
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,11,0,4,3,1,18
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,14,0,3,3,3,15
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,0,11,0,8,1,0,1
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,0,16,0,5,1,5,0
admin,custom_python_script,missing_tpm,8.8.8.8,drop,pazienti,10,3,1,50,2,60,97
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,10,0,1,2,0,10
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,14,0,5,1,2,1
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,15,0,5,2,0,13
mario.rossi,curl_7.68,unknown,1.2.3.4,drop,config_db,3,0,1,15,3,30,100
admin,custom_python_script,missing_tpm,93.44.12.1,find,system_logs,3,0,1,20,2,180,100
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,1,13,0,6,2,1,20
hacker,custom_python_script,missing_tpm,8.8.8.8,delete,pazienti,3,4,1,20,2,60,96
admin,curl_7.68,missing_tpm,1.2.3.4,find,pazienti,10,5,1,20,2,30,100
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,cartelle_cliniche,0,16,0,6,3,0,20
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,16,0,4,3,0,23
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,11,0,5,1,0,0
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,2,11,0,3,1,0,15
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,0,14,0,5,3,5,13
anonymous,custom_python_script,unknown,93.44.12.1,drop,system_logs,7,1,1,30,2,90,100
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,0,15,0,9,1,2,0
hacker,nmap,missing_tpm,93.44.12.1,drop,config_db,5,2,1,20,3,30,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,2,16,0,4,1,0,16
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,11,0,9,2,7,9
mario.rossi,custom_python_script,missing_tpm,1.2.3.4,delete,config_db,5,1,1,15,3,90,100
hacker,custom_python_script,unknown,1.2.3.4,find,pazienti,5,4,1,30,2,90,100
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,2,15,0,1,1,1,16
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,16,0,6,2,0,10
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,10,0,1,3,3,18
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,13,0,1,3,0,20
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,utenti,0,9,0,4,1,0,0
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,18,0,3,2,5,10
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,13,0,1,3,0,14
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,utenti,0,9,0,5,1,0,0
anonymous,custom_python_script,missing_tpm,1.2.3.4,delete,system_logs,10,5,1,30,2,365,100
admin,curl_7.68,unknown,1.2.3.4,delete,config_db,7,2,1,50,3,90,100
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,0,10,0,2,1,0,1
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,9,0,5,2,2,8
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,12,0,9,1,5,0
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,10,0,6,2,0,9
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,0,9,0,5,2,2,4
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,0,15,0,3,2,0,10
mario.rossi,nmap,unknown,1.2.3.4,delete,config_db,7,3,1,20,3,90,100
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,10,0,1,1,0,0
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,15,0,2,2,1,9
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,13,0,4,3,2,23
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,0,13,0,1,3,2,20
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,insert,utenti,0,13,0,10,1,2,3
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,12,0,2,2,1,7
admin,custom_python_script,missing_tpm,8.8.8.8,drop,config_db,5,0,1,30,3,60,100
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,8,0,3,1,1,0
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0,9,0,1,2,1,13
mario.rossi,nmap,missing_tpm,8.8.8.8,find,config_db,3,2,1,15,3,180,100
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,16,0,10,1,0,0
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,10,0,7,1,0,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,13,0,1,1,5,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,0,14,0,1,3,0,20
mario.rossi,nmap,missing_tpm,93.44.12.1,delete,pazienti,10,2,1,30,2,90,98
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,12,0,7,2,7,9
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,1,16,0,6,3,3,26
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,12,0,2,1,3,0
anonymous,custom_python_script,unknown,1.2.3.4,drop,pazienti,5,5,1,20,2,60,100
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,pazienti,1,14,0,10,2,7,19
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,utenti,0,13,0,10,1,0,0
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,1,14,0,3,2,3,14
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,14,0,3,2,0,10
mario.rossi,curl_7.68,unknown,93.44.12.1,delete,system_logs,7,2,1,30,2,60,100
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,9,0,6,3,3,19
admin,curl_7.68,missing_tpm,8.8.8.8,drop,system_logs,7,3,1,20,2,180,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,10,0,1,2,0,9
mario.rossi,curl_7.68,unknown,93.44.12.1,delete,system_logs,7,22,1,20,2,90,98
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,0,13,0,2,1,0,1
mario.rossi,custom_python_script,missing_tpm,1.2.3.4,drop,config_db,7,22,1,30,3,90,99
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,13,0,1,3,5,20
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,1,15,0,3,3,0,31
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,0,17,0,7,3,0,20
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,pazienti,0,12,0,8,2,0,12
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0,17,0,4,3,0,20
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,11,0,8,2,0,7
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,10,0,7,1,0,2
anonymous,nmap,unknown,93.44.12.1,drop,config_db,10,3,1,30,3,60,99
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,0,12,0,7,1,0,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,12,0,5,3,3,18
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,11,0,5,1,0,2
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,14,0,6,2,2,10
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,10,0,9,3,0,17
mario.rossi,curl_7.68,missing_tpm,8.8.8.8,delete,system_logs,5,5,1,15,2,60,100
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,pazienti,0,13,0,8,2,1,10
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,0,15,0,4,1,0,0
hacker,curl_7.68,missing_tpm,93.44.12.1,find,config_db,7,23,1,50,3,60,100
anonymous,nmap,unknown,8.8.8.8,drop,config_db,3,1,1,30,3,365,100
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,0,15,0,1,2,1,12
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,0,12,0,4,1,2,0
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,8,0,8,3,1,16
admin,custom_python_script,missing_tpm,93.44.12.1,find,system_logs,3,1,1,30,2,30,98
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,16,0,7,1,0,0
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,8,0,10,2,1,11
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,8,0,2,3,1,14
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,1,14,0,8,3,1,25
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,0,10,0,1,2,1,8
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,2,14,0,3,3,3,37
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0,18,0,1,2,2,11
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,0,10,0,7,3,1,20
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,9,0,8,3,0,23
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,13,0,1,2,0,9
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,11,0,9,1,0,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,1,13,0,6,2,0,15
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,14,0,4,2,0,12
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,9,0,10,1,3,0
mario.rossi,custom_python_script,unknown,8.8.8.8,find,config_db,7,1,1,20,3,60,97
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,2,14,0,1,3,0,36
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,0,13,0,6,1,0,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,pazienti,0,12,0,7,2,0,10
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,10,0,2,1,5,2
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,0,10,0,5,1,0,2
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,16,0,8,1,1,4
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,11,0,8,1,1,0
mario.rossi,nmap,unknown,93.44.12.1,delete,config_db,3,3,1,20,3,365,100
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,1,9,0,10,1,2,7
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,pazienti,0,12,0,4,2,1,10
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,10,0,6,3,1,20
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,16,0,9,1,1,7
mario.rossi,curl_7.68,unknown,93.44.12.1,drop,system_logs,10,1,1,50,2,90,100
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,13,0,2,1,0,0
admin,nmap,unknown,1.2.3.4,drop,pazienti,7,1,1,30,2,30,99
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,0,13,0,6,2,1,11
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,pazienti,0,10,0,6,2,1,8
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,12,0,7,1,1,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,pazienti,0,8,0,1,2,0,10
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,0,16,0,6,1,1,0
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,1,18,0,9,3,1,28
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,14,0,4,2,0,9
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,16,0,4,3,0,19
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,11,0,1,3,1,20
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,insert,utenti,0,9,0,5,1,0,0
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,pazienti,0,11,0,5,2,3,10
mario.rossi,curl_7.68,unknown,93.44.12.1,drop,system_logs,7,23,1,20,2,180,100
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,15,0,9,1,7,0
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,1,12,0,1,1,0,9
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,14,0,1,1,0,5
mario.rossi,nmap,missing_tpm,1.2.3.4,drop,pazienti,5,3,1,20,2,60,100
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,14,0,4,3,3,20
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,13,0,5,3,3,21
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,0,12,0,9,1,0,1
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,9,0,6,3,2,24
mario.rossi,curl_7.68,unknown,93.44.12.1,drop,config_db,7,3,1,50,3,180,97
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,0,11,0,2,2,0,15
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,11,0,1,1,0,3
admin,custom_python_script,unknown,8.8.8.8,drop,config_db,3,0,1,20,3,365,99
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,12,0,6,1,1,3
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,14,0,2,2,1,16
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,1,10,0,2,3,0,26
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,10,0,6,3,2,20
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,0,8,0,10,1,2,0
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,17,0,6,2,3,10
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,2,13,0,3,2,0,26
anonymous,custom_python_script,missing_tpm,8.8.8.8,delete,system_logs,3,4,1,50,2,60,97
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,15,0,4,2,0,11
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,cartelle_cliniche,1,11,0,9,3,1,33
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,10,0,4,1,0,0
mario.rossi,custom_python_script,missing_tpm,8.8.8.8,drop,pazienti,5,2,1,30,2,180,100
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,1,14,0,3,1,0,8
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,utenti,0,8,0,7,1,3,0
anonymous,nmap,missing_tpm,8.8.8.8,find,config_db,3,23,1,30,3,180,100
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,11,0,2,3,0,20
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,update,utenti,0,15,0,2,1,0,1
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,8,0,8,3,0,20
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,0,9,0,5,1,2,1
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,0,9,0,7,3,1,15
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,0,9,0,2,1,1,3
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,find,utenti,0,14,0,5,1,3,0
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,10,0,10,1,0,1
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,0,14,0,2,3,0,19
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,14,0,6,3,0,20
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,14,0,7,3,5,14
hacker,curl_7.68,missing_tpm,8.8.8.8,find,pazienti,5,3,1,30,2,90,95
admin,custom_python_script,missing_tpm,8.8.8.8,drop,system_logs,5,22,1,50,2,30,100
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,1,11,0,2,3,1,29
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,8,0,9,2,2,9
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,utenti,0,14,0,1,1,1,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,pazienti,0,15,0,6,2,1,10
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,13,0,1,3,0,20
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,cartelle_cliniche,0,18,0,2,3,0,22
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,17,0,2,1,0,4
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0,10,0,6,3,1,22
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,2,17,0,7,1,2,16
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,utenti,2,7,0,2,1,2,16
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,16,0,8,3,0,19
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,2,12,0,9,3,2,36
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,0,17,0,3,1,0,1
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,1,10,0,3,3,0,28
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,11,0,3,3,1,20
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,0,17,0,7,1,1,1
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,8,0,9,2,0,10
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,18,0,7,1,3,0
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,16,0,8,1,1,1
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0,11,0,4,3,0,17
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,13,0,3,2,0,10
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,11,0,3,1,0,0
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,14,0,3,2,0,6
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,update,pazienti,0,13,0,4,2,0,12
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,13,0,10,2,7,12
mario.rossi,curl_7.68,unknown,1.2.3.4,delete,config_db,3,0,1,15,3,90,98
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,1,11,0,3,3,0,28
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,16,0,4,3,0,25
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,14,0,7,2,0,8
